,RMSE,MAE,R²,MAPE
Naive Baseline,204.42834470283236,156.8680233230904,-0.028398983450854676,0.0
Linear Regression,132.2350324345831,97.5841274801878,0.5696988897034321,251.98848788244632
Ridge,132.22312946562025,97.6456310531588,0.5697763522358237,251.6241101820324
Lasso,132.3632032530282,97.90280627129913,0.5688643336414186,248.9246018640645
Random Forest,79.67176270220733,51.65778745456407,0.8437973972128051,40.69330468213656
Gradient Boosting,74.23712609642534,49.19102499978614,0.8643806319490077,57.462612520281034
XGBoost,67.61414918952158,43.491968172805116,0.8874994516372681,71.2830502308796
LightGBM,69.63664817403378,44.45455264803557,0.8806684909860518,60.641692856089136
CatBoost,71.25373866880727,47.2601408169412,0.8750619487210425,87.78704208700131
